Survey_ID,Lead_ID,Trust_Score,FOMO_Score,Luxury_Score,Investment_Score,Price_Sensitivity,Transparency_Rating,Booking_Decision
SURV02053,LEAD03463,6,8,4,7,5,4,Yes
SURV02054,LEAD03463,8,8,4,7,3,8,Yes
SURV02055,LEAD03463,7,6,5,4,3,7,Yes
SURV02056,LEAD03467,6,6,8,4,5,7,No
SURV02057,LEAD03469,5,7,4,2,5,6,No
SURV02058,LEAD03471,5,9,4,6,5,6,No
SURV02059,LEAD03478,6,7,3,9,7,5,No
SURV02060,LEAD03479,6,7,2,6,5,5,No
SURV02061,LEAD03480,5,6,5,8,6,6,No
SURV02062,LEAD03481,7,5,4,9,5,6,No
SURV02063,LEAD03484,9,10,5,7,4,8,No
SURV02064,LEAD03484,8,7,5,6,4,9,Yes
SURV02065,LEAD03486,9,8,2,3,4,10,Yes
SURV02066,LEAD03486,10,5,4,7,3,10,No
SURV02067,LEAD03486,8,9,6,3,5,10,Yes
SURV02068,LEAD03490,6,4,1,10,3,7,No
SURV02069,LEAD03492,5,4,6,7,5,5,No
SURV02070,LEAD03493,7,3,5,6,4,6,No
SURV02071,LEAD03495,4,3,4,5,7,3,No
SURV02072,LEAD03500,7,8,7,6,3,7,No
SURV02073,LEAD03500,9,9,9,7,3,10,Yes
SURV02074,LEAD03500,8,4,10,7,3,8,Yes
SURV02075,LEAD03501,5,5,7,7,4,6,No
SURV02076,LEAD03502,7,5,5,4,3,6,No
SURV02077,LEAD03502,7,3,6,6,6,9,No
SURV02078,LEAD03508,7,6,3,9,8,7,No
SURV02079,LEAD03511,7,6,3,6,6,5,No
SURV02080,LEAD03511,9,6,4,7,8,8,No
SURV02081,LEAD03512,7,3,5,5,7,8,No
SURV02082,LEAD03512,8,4,2,3,5,8,No
SURV02083,LEAD03514,6,5,4,2,5,7,No
SURV02084,LEAD03516,8,6,2,7,4,7,Yes
SURV02085,LEAD03516,10,6,3,8,5,10,No
SURV02086,LEAD03518,8,7,4,9,4,9,No
SURV02087,LEAD03518,9,5,6,10,4,8,No
SURV02088,LEAD03519,6,3,5,4,4,6,No
SURV02089,LEAD03520,7,5,2,4,6,7,No
SURV02090,LEAD03525,6,2,1,7,6,5,No
SURV02091,LEAD03525,4,2,4,7,7,3,No
SURV02092,LEAD03526,5,6,2,6,9,4,No
SURV02093,LEAD03528,8,6,2,4,7,10,Yes
SURV02094,LEAD03532,5,2,4,4,6,5,No
SURV02095,LEAD03538,6,3,3,5,7,8,No
SURV02096,LEAD03539,5,5,4,2,6,5,No
SURV02097,LEAD03541,5,4,3,5,7,6,Yes
SURV02098,LEAD03545,8,8,3,3,4,8,Yes
SURV02099,LEAD03546,5,6,6,3,5,7,No
SURV02100,LEAD03551,6,6,4,7,5,5,No
SURV02101,LEAD03553,9,4,4,4,5,7,Yes
SURV02102,LEAD03553,8,9,5,3,6,8,Yes
SURV02103,LEAD03553,9,8,5,2,4,9,Yes
SURV02104,LEAD03556,7,6,4,3,5,7,No
SURV02105,LEAD03561,8,9,1,4,6,7,Yes
SURV02106,LEAD03563,6,6,4,9,7,7,No
SURV02107,LEAD03564,8,7,5,7,7,9,No
SURV02108,LEAD03566,6,5,5,7,5,6,No
SURV02109,LEAD03571,8,10,3,2,6,8,Yes
SURV02110,LEAD03571,10,7,5,3,6,9,No
SURV02111,LEAD03571,8,7,4,5,4,9,Yes
SURV02112,LEAD03574,5,6,4,3,3,5,No
SURV02113,LEAD03581,5,1,1,6,8,5,No
SURV02114,LEAD03583,9,8,1,6,4,8,Yes
SURV02115,LEAD03585,8,3,5,3,7,8,No
SURV02116,LEAD03588,5,7,3,7,7,5,No
SURV02117,LEAD03592,7,3,6,5,3,7,Yes
SURV02118,LEAD03595,9,7,2,1,5,9,No
SURV02119,LEAD03599,5,5,3,3,7,4,No
SURV02120,LEAD03600,7,6,5,2,4,8,No
SURV02121,LEAD03601,6,6,1,2,5,5,No
SURV02122,LEAD03602,7,7,4,7,3,7,No
SURV02123,LEAD03607,6,6,6,5,5,6,No
SURV02124,LEAD03609,6,6,6,10,6,6,Yes
SURV02125,LEAD03621,7,6,3,9,8,7,No
SURV02126,LEAD03622,7,6,3,7,7,7,No
SURV02127,LEAD03623,8,6,4,6,7,7,No
SURV02128,LEAD03623,6,6,5,8,3,6,No
SURV02129,LEAD03623,8,6,4,6,7,9,Yes
SURV02130,LEAD03624,7,8,3,7,7,6,Yes
SURV02131,LEAD03624,8,3,6,8,4,7,No
SURV02132,LEAD03624,9,5,5,6,2,8,Yes
SURV02133,LEAD03625,5,3,1,4,7,6,No
SURV02134,LEAD03626,7,4,5,3,5,7,No
SURV02135,LEAD03627,7,5,6,7,5,7,No
SURV02136,LEAD03627,6,5,7,8,5,6,No
SURV02137,LEAD03629,8,3,2,2,5,9,Yes
SURV02138,LEAD03629,6,6,4,4,6,5,No
SURV02139,LEAD03631,10,5,4,4,8,9,Yes
SURV02140,LEAD03632,8,4,1,3,4,9,Yes
SURV02141,LEAD03636,7,5,3,10,6,7,No
SURV02142,LEAD03636,9,7,4,7,6,9,Yes
SURV02143,LEAD03638,6,5,4,2,5,5,Yes
SURV02144,LEAD03645,9,7,4,7,7,10,No
SURV02145,LEAD03645,9,9,5,9,4,10,Yes
SURV02146,LEAD03648,8,4,7,3,6,7,No
SURV02147,LEAD03649,7,6,2,4,8,7,No
SURV02148,LEAD03650,5,6,3,5,6,5,No
SURV02149,LEAD03654,7,4,2,6,6,7,No
SURV02150,LEAD03655,6,4,6,3,7,5,No
SURV02151,LEAD03655,7,4,4,3,4,8,No
SURV02152,LEAD03657,5,6,8,4,6,4,No
SURV02153,LEAD03658,6,3,5,4,5,6,No
SURV02154,LEAD03660,3,4,4,4,7,2,No
SURV02155,LEAD03662,8,6,5,3,3,7,Yes
SURV02156,LEAD03663,8,7,1,7,6,8,Yes
SURV02157,LEAD03663,8,7,4,6,6,8,Yes
SURV02158,LEAD03663,10,7,2,9,4,9,Yes
SURV02159,LEAD03667,8,7,3,8,5,7,No
SURV02160,LEAD03673,10,8,5,8,4,10,No
SURV02161,LEAD03673,10,10,1,6,4,9,Yes
SURV02162,LEAD03676,6,6,2,7,8,4,No
SURV02163,LEAD03678,6,8,1,8,5,7,Yes
SURV02164,LEAD03680,5,5,5,5,5,6,No
SURV02165,LEAD03680,4,5,4,4,5,4,No
SURV02166,LEAD03686,7,5,5,3,5,6,No
SURV02167,LEAD03688,6,3,3,4,6,4,No
SURV02168,LEAD03689,7,7,4,7,7,8,No
SURV02169,LEAD03690,5,3,2,6,6,3,No
SURV02170,LEAD03690,6,8,4,6,5,7,Yes
SURV02171,LEAD03695,6,7,2,10,5,6,No
SURV02172,LEAD03695,5,4,3,6,6,4,No
SURV02173,LEAD03695,7,4,1,7,4,5,No
SURV02174,LEAD03696,5,3,4,2,4,3,No
SURV02175,LEAD03699,6,6,2,6,5,6,No
SURV02176,LEAD03700,3,4,4,4,5,3,No
SURV02177,LEAD03704,8,4,3,3,5,10,No
SURV02178,LEAD03705,9,5,7,4,5,10,No
SURV02179,LEAD03708,8,7,2,4,5,8,No
SURV02180,LEAD03709,8,7,2,5,3,7,Yes
SURV02181,LEAD03709,9,7,3,2,5,10,Yes
SURV02182,LEAD03709,9,9,6,5,7,8,No
SURV02183,LEAD03712,8,8,3,3,6,8,Yes
SURV02184,LEAD03712,10,9,3,4,7,10,Yes
SURV02185,LEAD03712,6,8,4,3,4,5,Yes
SURV02186,LEAD03713,9,4,1,3,7,9,No
SURV02187,LEAD03713,7,6,3,4,7,7,No
SURV02188,LEAD03714,8,9,2,6,5,8,Yes
SURV02189,LEAD03714,8,9,4,2,4,9,Yes
SURV02190,LEAD03720,7,6,9,2,3,8,No
SURV02191,LEAD03720,9,4,7,3,4,8,No
SURV02192,LEAD03720,8,4,9,3,3,8,No
SURV02193,LEAD03721,6,2,3,2,5,6,No
SURV02194,LEAD03721,4,5,3,4,5,3,Yes
SURV02195,LEAD03725,7,8,6,3,6,8,Yes
SURV02196,LEAD03725,9,7,5,6,5,10,Yes
SURV02197,LEAD03725,9,10,4,3,5,10,Yes
SURV02198,LEAD03726,5,3,3,4,6,4,No
SURV02199,LEAD03727,5,5,1,2,7,4,No
SURV02200,LEAD03729,5,3,3,4,10,5,No
SURV02201,LEAD03733,8,5,1,5,5,8,No
SURV02202,LEAD03738,4,5,1,8,5,4,No
SURV02203,LEAD03741,7,5,2,4,6,7,No
SURV02204,LEAD03741,7,5,2,4,4,8,No
SURV02205,LEAD03743,10,7,5,4,5,10,Yes
SURV02206,LEAD03744,5,5,3,10,6,5,No
SURV02207,LEAD03744,8,5,5,5,6,7,No
SURV02208,LEAD03745,7,6,3,2,4,5,No
SURV02209,LEAD03745,6,5,3,2,6,5,Yes
SURV02210,LEAD03746,3,7,5,4,7,2,No
SURV02211,LEAD03749,5,7,2,4,5,6,No
SURV02212,LEAD03751,5,4,4,3,5,5,No
SURV02213,LEAD03751,5,5,3,7,4,5,No
SURV02214,LEAD03754,5,4,4,4,7,5,No
SURV02215,LEAD03759,6,7,6,5,2,8,No
SURV02216,LEAD03763,5,5,2,4,8,6,No
SURV02217,LEAD03764,6,4,3,5,6,7,No
SURV02218,LEAD03764,3,3,2,4,8,2,No
SURV02219,LEAD03773,7,5,2,10,6,5,No
SURV02220,LEAD03773,6,4,1,6,9,7,No
SURV02221,LEAD03774,6,4,5,9,6,5,No
SURV02222,LEAD03776,5,6,6,10,5,6,No
SURV02223,LEAD03781,8,7,2,3,5,8,No
SURV02224,LEAD03783,6,2,4,6,7,7,No
SURV02225,LEAD03787,8,8,2,9,8,7,Yes
SURV02226,LEAD03792,8,6,7,7,2,9,No
SURV02227,LEAD03796,6,3,3,6,5,7,No
SURV02228,LEAD03797,4,5,4,1,5,4,No
SURV02229,LEAD03802,5,1,3,3,7,6,No
SURV02230,LEAD03806,8,3,5,4,3,10,No
SURV02231,LEAD03806,8,6,4,3,4,6,No
SURV02232,LEAD03809,9,5,1,4,5,10,No
SURV02233,LEAD03810,10,4,6,6,5,9,Yes
SURV02234,LEAD03810,5,5,5,6,5,4,No
SURV02235,LEAD03810,5,6,3,8,6,4,No
SURV02236,LEAD03811,6,4,4,5,5,5,No
SURV02237,LEAD03811,6,5,4,4,6,6,No
SURV02238,LEAD03813,7,7,4,1,6,7,No
SURV02239,LEAD03813,5,5,3,1,6,5,No
SURV02240,LEAD03815,8,6,3,5,5,8,Yes
SURV02241,LEAD03815,6,10,5,4,6,7,Yes
SURV02242,LEAD03815,9,6,5,5,7,10,No
SURV02243,LEAD03816,8,7,2,6,5,9,No
SURV02244,LEAD03817,7,7,3,4,8,7,No
SURV02245,LEAD03817,8,3,2,4,8,7,No
SURV02246,LEAD03818,6,9,1,4,8,7,No
SURV02247,LEAD03818,6,5,1,1,8,8,No
SURV02248,LEAD03819,5,7,3,8,6,4,No
SURV02249,LEAD03820,5,6,8,8,4,4,No
SURV02250,LEAD03822,5,6,1,9,7,5,No
SURV02251,LEAD03822,5,5,3,7,7,3,No
SURV02252,LEAD03823,7,6,1,5,10,6,No
SURV02253,LEAD03823,6,5,5,4,5,7,No
SURV02254,LEAD03825,7,5,5,10,4,6,Yes
SURV02255,LEAD03825,6,4,6,8,5,6,No
SURV02256,LEAD03826,5,9,3,8,7,4,No
SURV02257,LEAD03829,5,4,3,3,6,6,No
SURV02258,LEAD03829,6,6,2,5,4,6,No
SURV02259,LEAD03830,9,2,3,7,2,8,Yes
SURV02260,LEAD03830,8,10,6,6,6,7,Yes
SURV02261,LEAD03836,4,6,2,4,7,5,No
SURV02262,LEAD03837,6,6,5,5,7,7,No
SURV02263,LEAD03842,6,5,2,8,5,7,No
SURV02264,LEAD03843,8,8,6,7,4,8,No
SURV02265,LEAD03843,6,7,6,9,7,7,No
SURV02266,LEAD03843,7,5,3,6,6,7,No
SURV02267,LEAD03845,6,2,4,7,5,7,No
SURV02268,LEAD03846,4,1,4,6,5,5,No
SURV02269,LEAD03847,7,2,3,3,6,6,No
SURV02270,LEAD03849,7,8,4,4,5,7,No
SURV02271,LEAD03849,4,7,5,4,7,3,No
SURV02272,LEAD03851,7,2,5,9,4,8,No
SURV02273,LEAD03852,7,7,2,8,7,7,Yes
SURV02274,LEAD03854,6,7,5,6,6,4,No
SURV02275,LEAD03854,6,5,8,8,5,7,No
SURV02276,LEAD03855,6,4,4,6,6,6,No
SURV02277,LEAD03856,8,4,3,6,6,10,No
SURV02278,LEAD03857,8,4,5,3,6,7,No
SURV02279,LEAD03857,6,4,3,4,4,5,No
SURV02280,LEAD03861,6,6,5,4,6,7,No
SURV02281,LEAD03864,8,5,2,6,5,8,Yes
SURV02282,LEAD03865,6,7,2,4,8,6,No
SURV02283,LEAD03866,9,8,4,3,4,10,Yes
SURV02284,LEAD03866,10,8,3,2,6,9,Yes
SURV02285,LEAD03869,6,5,1,9,3,7,No
SURV02286,LEAD03869,8,5,2,8,7,8,No
SURV02287,LEAD03869,7,6,3,9,4,7,No
SURV02288,LEAD03871,8,6,4,8,5,7,Yes
SURV02289,LEAD03871,9,7,3,7,5,9,No
SURV02290,LEAD03875,3,5,2,7,6,4,No
SURV02291,LEAD03882,8,7,3,6,6,7,No
SURV02292,LEAD03882,8,4,3,6,6,8,No
SURV02293,LEAD03883,5,8,4,5,5,5,No
SURV02294,LEAD03889,7,8,3,6,5,6,No
SURV02295,LEAD03898,7,3,2,6,5,7,No
SURV02296,LEAD03900,4,8,3,5,4,5,No
SURV02297,LEAD03900,5,4,4,5,4,6,No
SURV02298,LEAD03904,6,5,1,4,6,5,No
SURV02299,LEAD03907,3,5,5,5,6,1,No
SURV02300,LEAD03914,6,5,1,2,7,6,No
SURV02301,LEAD03915,6,6,8,10,4,7,No
SURV02302,LEAD03916,9,8,8,8,4,9,No
SURV02303,LEAD03916,9,6,5,6,7,10,Yes
SURV02304,LEAD03916,9,9,7,7,5,7,Yes
SURV02305,LEAD03917,7,6,5,7,3,6,No
SURV02306,LEAD03917,6,4,7,7,4,3,No
SURV02307,LEAD03920,4,7,5,7,8,4,No
SURV02308,LEAD03920,6,6,3,5,5,5,No
SURV02309,LEAD03920,4,5,3,3,6,5,No
SURV02310,LEAD03921,5,4,3,4,6,4,No
SURV02311,LEAD03922,4,7,4,5,6,4,No
SURV02312,LEAD03924,6,6,3,7,6,5,No
SURV02313,LEAD03924,5,6,4,8,7,5,No
SURV02314,LEAD03927,8,6,5,4,5,4,No
SURV02315,LEAD03927,6,6,5,5,6,6,No
SURV02316,LEAD03928,7,5,4,4,5,6,No
SURV02317,LEAD03931,5,4,1,2,7,4,No
SURV02318,LEAD03933,6,5,5,4,4,5,No
SURV02319,LEAD03935,4,5,5,8,5,5,No
SURV02320,LEAD03935,5,4,4,8,6,7,No
SURV02321,LEAD03936,10,8,4,7,6,9,No
SURV02322,LEAD03936,10,6,3,6,4,10,No
SURV02323,LEAD03939,9,8,1,9,7,9,Yes
SURV02324,LEAD03939,8,8,2,5,7,7,No
SURV02325,LEAD03941,5,7,4,4,5,6,No
SURV02326,LEAD03942,6,1,5,8,7,5,No
SURV02327,LEAD03943,6,7,1,9,8,7,Yes
SURV02328,LEAD03943,7,7,3,7,6,7,Yes
SURV02329,LEAD03946,6,7,4,4,6,6,No
SURV02330,LEAD03948,4,5,3,7,7,3,No
SURV02331,LEAD03951,7,6,3,3,6,7,No
SURV02332,LEAD03951,5,6,1,3,7,6,No
SURV02333,LEAD03954,7,7,3,4,7,6,No
SURV02334,LEAD03957,6,6,3,4,7,5,No
SURV02335,LEAD03958,9,8,3,4,9,9,Yes
SURV02336,LEAD03958,9,9,1,3,7,8,Yes
SURV02337,LEAD03958,8,8,4,1,6,7,No
SURV02338,LEAD03961,6,4,1,1,8,6,No
SURV02339,LEAD03965,9,7,5,4,3,9,Yes
SURV02340,LEAD03965,9,8,5,9,1,9,Yes
SURV02341,LEAD03967,8,5,5,6,6,8,No
SURV02342,LEAD03968,8,7,3,6,5,8,No
SURV02343,LEAD03969,9,10,4,4,4,9,Yes
SURV02344,LEAD03969,10,5,4,4,5,9,Yes
SURV02345,LEAD03969,7,10,4,7,8,8,Yes
SURV02346,LEAD03970,4,5,4,5,4,4,Yes
SURV02347,LEAD03971,7,3,4,3,8,7,No
SURV02348,LEAD03974,7,8,6,4,4,8,No
SURV02349,LEAD03974,6,6,4,5,4,5,No
SURV02350,LEAD03975,9,3,4,2,3,8,No
SURV02351,LEAD03977,5,8,4,6,6,5,No
SURV02352,LEAD03977,8,6,5,8,6,8,No
SURV02353,LEAD03977,7,3,3,7,7,8,No
SURV02354,LEAD03978,7,6,2,6,7,7,No
SURV02355,LEAD03978,7,3,2,4,5,7,No
SURV02356,LEAD03980,7,5,2,7,8,7,No
SURV02357,LEAD03980,4,6,2,6,4,4,No
SURV02358,LEAD03980,6,6,3,5,7,7,No
SURV02359,LEAD03983,7,3,3,7,6,8,No
SURV02360,LEAD03984,6,7,8,7,4,6,Yes
SURV02361,LEAD03987,4,5,5,9,6,3,No
SURV02362,LEAD03987,6,3,1,5,6,6,No
SURV02363,LEAD03988,8,7,2,9,5,8,Yes
SURV02364,LEAD03988,10,8,2,10,3,10,Yes
SURV02365,LEAD03988,9,10,5,5,1,9,No
SURV02366,LEAD03991,8,9,3,7,5,7,No
SURV02367,LEAD03995,9,5,5,3,6,10,Yes
SURV02368,LEAD03996,8,6,4,3,5,8,No
SURV02369,LEAD03997,7,4,1,1,7,8,No
SURV02370,LEAD03998,6,7,2,5,6,7,No
SURV02371,LEAD03999,7,6,3,2,7,8,Yes
SURV02372,LEAD04001,6,2,4,8,4,8,No
SURV02373,LEAD04003,6,5,4,10,6,5,No
SURV02374,LEAD04004,8,6,3,7,7,9,No
SURV02375,LEAD04005,2,2,3,6,7,3,No
SURV02376,LEAD04009,6,6,4,4,4,7,Yes
SURV02377,LEAD04010,9,8,3,6,2,8,Yes
SURV02378,LEAD04010,8,6,5,1,6,7,Yes
SURV02379,LEAD04013,6,2,6,2,6,7,No
SURV02380,LEAD04015,6,5,3,1,5,6,No
SURV02381,LEAD04015,7,2,5,4,3,8,No
SURV02382,LEAD04019,6,7,1,7,4,6,No
SURV02383,LEAD04021,5,9,6,5,7,5,No
SURV02384,LEAD04021,7,3,2,4,2,9,No
SURV02385,LEAD04023,5,6,3,4,4,7,No
SURV02386,LEAD04024,9,7,3,1,6,9,Yes
SURV02387,LEAD04026,5,6,1,3,5,6,No
SURV02388,LEAD04028,8,9,6,7,6,6,No
SURV02389,LEAD04028,10,7,7,8,2,9,Yes
SURV02390,LEAD04031,6,8,6,7,4,7,No
SURV02391,LEAD04031,8,5,7,7,5,10,No
SURV02392,LEAD04034,7,8,5,3,4,6,No
SURV02393,LEAD04035,8,7,4,3,4,7,No
SURV02394,LEAD04035,8,7,4,2,5,7,Yes
SURV02395,LEAD04037,8,6,5,4,3,10,Yes
SURV02396,LEAD04038,6,4,6,7,6,6,No
SURV02397,LEAD04038,7,5,3,7,4,6,Yes
SURV02398,LEAD04042,6,6,5,5,6,5,No
SURV02399,LEAD04043,4,7,2,4,7,5,No
SURV02400,LEAD04044,6,5,2,3,6,5,No
SURV02401,LEAD04051,7,5,1,8,7,7,Yes
SURV02402,LEAD04052,5,4,2,5,5,5,No
SURV02403,LEAD04053,6,9,2,5,5,6,No
SURV02404,LEAD04054,10,7,5,3,4,10,No
SURV02405,LEAD04054,8,7,3,3,4,7,No
SURV02406,LEAD04054,8,7,5,3,6,7,No
SURV02407,LEAD04057,9,8,5,3,4,9,No
SURV02408,LEAD04059,4,4,5,8,9,5,No
SURV02409,LEAD04061,7,5,5,1,5,6,No
SURV02410,LEAD04064,6,7,3,3,7,6,No
SURV02411,LEAD04066,8,6,4,7,4,7,No
SURV02412,LEAD04066,7,4,4,7,3,7,No
SURV02413,LEAD04066,7,6,3,10,6,7,No
SURV02414,LEAD04067,9,5,2,8,8,9,No
SURV02415,LEAD04067,9,9,1,6,7,9,Yes
SURV02416,LEAD04068,10,5,4,3,4,10,No
SURV02417,LEAD04070,4,5,5,6,6,4,No
SURV02418,LEAD04072,6,6,5,7,6,3,Yes
SURV02419,LEAD04077,6,2,1,3,6,7,No
SURV02420,LEAD04077,7,4,4,2,7,7,No
SURV02421,LEAD04079,6,6,7,3,5,5,No
SURV02422,LEAD04079,5,7,5,4,6,4,No
SURV02423,LEAD04081,7,3,1,7,6,8,No
SURV02424,LEAD04085,6,4,3,3,6,7,No
SURV02425,LEAD04086,9,6,4,6,6,9,No
SURV02426,LEAD04086,8,7,7,6,2,8,No
SURV02427,LEAD04086,9,6,5,5,4,10,Yes
SURV02428,LEAD04088,7,8,2,5,5,7,No
SURV02429,LEAD04088,7,10,5,4,6,8,No
SURV02430,LEAD04088,10,7,4,3,4,10,No
SURV02431,LEAD04091,9,8,2,3,6,10,No
SURV02432,LEAD04094,6,7,7,3,5,4,Yes
SURV02433,LEAD04098,4,7,8,10,4,4,No
SURV02434,LEAD04100,7,6,7,3,6,7,No
SURV02435,LEAD04102,8,5,6,4,5,9,No
SURV02436,LEAD04105,6,5,1,3,5,7,No
SURV02437,LEAD04108,6,4,3,5,5,6,No
SURV02438,LEAD04108,5,9,6,5,5,6,No
SURV02439,LEAD04108,4,4,4,3,6,2,No
SURV02440,LEAD04109,8,5,4,5,3,9,No
SURV02441,LEAD04110,5,4,4,9,4,5,No
SURV02442,LEAD04117,7,5,2,7,7,8,No
SURV02443,LEAD04124,8,8,7,7,6,8,Yes
SURV02444,LEAD04124,7,6,4,9,2,6,Yes
SURV02445,LEAD04124,8,5,5,6,3,8,Yes
SURV02446,LEAD04126,6,6,3,1,7,6,Yes
SURV02447,LEAD04126,9,4,6,5,5,9,No
SURV02448,LEAD04129,7,6,6,4,3,8,No
SURV02449,LEAD04129,8,7,6,2,6,7,No
SURV02450,LEAD04130,7,4,1,8,4,7,No
SURV02451,LEAD04131,5,4,5,3,6,4,No
SURV02452,LEAD04134,4,6,4,3,6,4,No
SURV02453,LEAD04135,7,7,3,1,6,7,Yes
SURV02454,LEAD04135,10,8,4,4,5,10,Yes
SURV02455,LEAD04135,9,9,4,1,5,10,Yes
SURV02456,LEAD04138,6,4,6,9,4,6,No
SURV02457,LEAD04139,7,4,5,9,5,7,No
SURV02458,LEAD04141,6,4,6,5,5,6,No
SURV02459,LEAD04142,9,8,5,3,8,9,Yes
SURV02460,LEAD04142,9,10,3,4,5,10,No
SURV02461,LEAD04143,10,8,6,7,6,9,No
SURV02462,LEAD04144,6,4,4,6,7,7,No
SURV02463,LEAD04144,6,6,5,9,7,6,No
SURV02464,LEAD04144,4,3,3,8,6,4,No
SURV02465,LEAD04146,7,5,5,6,4,6,No
SURV02466,LEAD04148,6,6,3,7,7,7,No
SURV02467,LEAD04150,7,3,3,10,5,7,No
SURV02468,LEAD04152,6,5,3,7,9,5,No
SURV02469,LEAD04153,9,7,1,4,4,9,Yes
SURV02470,LEAD04153,9,5,3,2,6,9,No
SURV02471,LEAD04153,7,6,2,3,3,6,No
SURV02472,LEAD04157,8,5,1,6,7,9,No
SURV02473,LEAD04157,8,10,1,6,5,8,No
SURV02474,LEAD04158,7,4,5,7,5,8,No
SURV02475,LEAD04159,4,7,1,4,5,3,No
SURV02476,LEAD04161,5,5,1,4,8,5,No
SURV02477,LEAD04162,6,6,3,7,5,6,Yes
SURV02478,LEAD04166,6,6,8,8,5,6,No
SURV02479,LEAD04167,7,3,9,7,4,8,No
SURV02480,LEAD04167,5,8,6,6,6,4,No
SURV02481,LEAD04168,8,8,7,9,5,7,Yes
SURV02482,LEAD04169,4,4,3,2,8,5,No
SURV02483,LEAD04170,6,2,4,4,9,7,No
SURV02484,LEAD04171,8,5,3,3,3,7,Yes
SURV02485,LEAD04171,8,8,2,4,6,8,No
SURV02486,LEAD04171,9,9,4,6,6,10,Yes
SURV02487,LEAD04172,6,7,5,5,6,6,No
SURV02488,LEAD04173,8,8,6,2,5,6,Yes
SURV02489,LEAD04174,8,8,2,4,5,10,Yes
SURV02490,LEAD04174,8,8,5,5,6,8,Yes
SURV02491,LEAD04177,6,8,5,4,5,5,No
SURV02492,LEAD04181,8,5,4,7,5,7,No
SURV02493,LEAD04182,6,7,5,2,4,6,No
SURV02494,LEAD04183,8,3,5,3,4,8,No
SURV02495,LEAD04183,6,5,6,1,2,6,Yes
SURV02496,LEAD04186,6,4,4,5,6,5,No
SURV02497,LEAD04189,7,7,2,8,8,6,No
SURV02498,LEAD04191,4,4,2,3,8,4,No
SURV02499,LEAD04193,5,4,3,5,6,5,No
SURV02500,LEAD04194,4,3,4,3,5,5,No
SURV02501,LEAD04195,5,7,4,7,7,6,No
SURV02502,LEAD04197,6,4,4,6,6,5,No
SURV02503,LEAD04198,8,7,4,8,6,9,No
SURV02504,LEAD04205,5,5,7,8,8,5,No
SURV02505,LEAD04206,4,7,1,4,7,5,No
SURV02506,LEAD04208,6,7,4,10,7,7,No
SURV02507,LEAD04210,8,3,6,9,5,6,No
SURV02508,LEAD04210,6,5,8,6,5,6,No
SURV02509,LEAD04220,8,5,4,2,3,8,No
SURV02510,LEAD04220,6,5,5,5,5,5,No
SURV02511,LEAD04221,5,2,6,8,4,5,No
SURV02512,LEAD04224,8,6,4,4,6,8,No
SURV02513,LEAD04230,9,10,5,5,4,9,Yes
SURV02514,LEAD04230,5,8,3,8,5,5,No
SURV02515,LEAD04231,9,7,5,6,4,10,Yes
SURV02516,LEAD04234,8,6,4,7,3,5,No
SURV02517,LEAD04235,6,9,3,3,8,3,Yes
SURV02518,LEAD04235,8,7,5,5,7,7,No
SURV02519,LEAD04235,6,6,3,3,4,5,No
SURV02520,LEAD04237,7,8,1,4,5,7,No
SURV02521,LEAD04238,6,2,5,2,7,5,No
SURV02522,LEAD04239,5,6,5,1,5,3,No
SURV02523,LEAD04240,5,7,3,3,8,5,No
SURV02524,LEAD04241,5,7,3,8,6,6,No
SURV02525,LEAD04241,6,4,3,9,5,5,No
SURV02526,LEAD04245,5,4,4,4,5,6,No
SURV02527,LEAD04246,6,4,1,4,6,6,No
SURV02528,LEAD04250,5,7,7,5,6,5,No
SURV02529,LEAD04252,6,5,4,8,4,5,No
SURV02530,LEAD04253,9,7,4,8,4,9,No
SURV02531,LEAD04258,6,5,5,2,8,7,No
SURV02532,LEAD04259,6,6,2,7,4,6,No
SURV02533,LEAD04260,4,4,4,9,7,5,No
SURV02534,LEAD04262,5,3,2,4,7,7,No
SURV02535,LEAD04265,6,6,5,7,6,6,No
SURV02536,LEAD04269,6,4,6,5,4,6,No
SURV02537,LEAD04269,7,4,7,5,5,5,No
SURV02538,LEAD04270,5,4,5,6,6,6,No
SURV02539,LEAD04270,8,9,7,4,3,8,No
SURV02540,LEAD04273,4,6,2,3,7,4,No
SURV02541,LEAD04273,4,5,1,6,6,3,No
SURV02542,LEAD04273,5,3,6,3,6,5,No
SURV02543,LEAD04277,5,5,2,4,9,4,No
SURV02544,LEAD04277,7,6,1,6,6,7,No
SURV02545,LEAD04281,7,6,1,4,7,7,No
SURV02546,LEAD04282,6,6,3,3,6,6,No
SURV02547,LEAD04283,8,9,4,8,5,9,No
SURV02548,LEAD04284,8,7,5,6,6,7,Yes
SURV02549,LEAD04286,7,8,4,9,4,7,No
SURV02550,LEAD04289,7,8,6,6,4,8,No
SURV02551,LEAD04289,7,6,8,3,6,7,No
SURV02552,LEAD04289,8,6,5,6,5,9,No
SURV02553,LEAD04290,7,6,2,9,6,7,Yes
SURV02554,LEAD04290,9,6,2,6,7,8,Yes
SURV02555,LEAD04290,7,4,1,6,7,8,No
SURV02556,LEAD04292,9,7,3,4,5,8,Yes
SURV02557,LEAD04295,8,7,2,3,8,7,Yes
SURV02558,LEAD04297,3,7,3,8,4,1,No
SURV02559,LEAD04297,4,4,6,5,5,4,No
