FollowUp_ID,Lead_ID,FollowUp_Date,Mode,Purpose,Outcome
FU004421,LEAD01634,2026-03-20,Call,Site Visit Invitation,Neutral
FU004422,LEAD01634,2026-04-08,Meeting,Site Visit Invitation,No Response
FU004423,LEAD01634,2026-04-17,Call,Booking Confirmation,Converted
FU004424,LEAD01635,2026-12-26,Call,Introduction,Interested
FU004425,LEAD01636,2026-11-14,Call,Introduction,Not Interested
FU004426,LEAD01637,2024-12-09,Loan Assistance,Loan Guidance,Interested
FU004427,LEAD01637,2024-12-29,Site Visit Reminder,Site Visit Invitation,No Response
FU004428,LEAD01638,2025-07-04,Loan Assistance,Loan Guidance,Requested Callback
FU004429,LEAD01638,2025-07-13,Call,Price Negotiation,Requested Callback
FU004430,LEAD01638,2025-08-09,Call,Re-engagement,Interested
FU004431,LEAD01639,2025-10-29,Site Visit Reminder,Site Visit Invitation,Not Interested
FU004432,LEAD01640,2026-02-18,Call,Introduction,Not Interested
FU004433,LEAD01641,2026-06-24,WhatsApp,Introduction,No Response
FU004434,LEAD01641,2026-06-24,WhatsApp,Introduction,No Response
FU004435,LEAD01641,2026-07-20,WhatsApp,Re-engagement,Requested Callback
FU004436,LEAD01641,2026-08-08,Site Visit Reminder,Site Visit Invitation,No Response
FU004437,LEAD01641,2026-08-25,Loan Assistance,Loan Guidance,Requested Callback
FU004438,LEAD01642,2026-12-31,Call,Introduction,Interested
FU004439,LEAD01643,2026-12-31,WhatsApp,Introduction,No Response
FU004440,LEAD01644,2025-05-01,WhatsApp,Introduction,Interested
FU004441,LEAD01644,2025-05-01,WhatsApp,Introduction,Interested
FU004442,LEAD01644,2025-05-01,WhatsApp,Introduction,Interested
FU004443,LEAD01644,2025-05-08,WhatsApp,Re-engagement,Interested
FU004444,LEAD01644,2025-05-29,WhatsApp,Re-engagement,Requested Callback
FU004445,LEAD01644,2025-06-03,Call,Re-engagement,Neutral
FU004446,LEAD01644,2025-06-18,Call,Interest Check,Interested
FU004447,LEAD01644,2025-06-27,WhatsApp,Site Visit Invitation,Not Interested
FU004448,LEAD01645,2026-04-24,Meeting,Introduction,Interested
FU004449,LEAD01645,2026-05-15,WhatsApp,Post-Visit Feedback,Requested Callback
FU004450,LEAD01645,2026-05-15,WhatsApp,Post-Visit Feedback,Requested Callback
FU004451,LEAD01646,2026-08-31,Email,Introduction,Interested
FU004452,LEAD01646,2026-09-07,WhatsApp,Price Negotiation,Neutral
FU004453,LEAD01646,2026-09-15,Payment Discussion,Payment Follow-up,No Response
FU004454,LEAD01647,2026-06-29,Call,Introduction,Not Interested
FU004455,LEAD01648,2024-08-11,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU004456,LEAD01649,2025-04-23,Site Visit Reminder,Site Visit Invitation,Neutral
FU004457,LEAD01649,2025-05-14,Call,Document Collection,Interested
FU004458,LEAD01649,2025-05-14,Call,Document Collection,Interested
FU004459,LEAD01649,2025-06-03,Email,Price Negotiation,Neutral
FU004460,LEAD01650,2025-01-23,Call,Introduction,No Response
FU004461,LEAD01651,2024-01-09,Meeting,Introduction,Neutral
FU004462,LEAD01651,2024-02-01,Meeting,Re-engagement,Interested
FU004463,LEAD01651,2024-02-19,WhatsApp,Interest Check,Interested
FU004464,LEAD01651,2024-02-19,WhatsApp,Interest Check,Interested
FU004465,LEAD01651,2024-03-07,Email,Booking Confirmation,Requested Callback
FU004466,LEAD01652,2026-11-28,WhatsApp,Introduction,No Response
FU004467,LEAD01652,2026-12-21,WhatsApp,Booking Confirmation,No Response
FU004468,LEAD01653,2024-12-17,WhatsApp,Introduction,Not Interested
FU004469,LEAD01653,2024-12-28,Payment Discussion,Payment Follow-up,Requested Callback
FU004470,LEAD01653,2025-01-13,Email,Booking Confirmation,Not Interested
FU004471,LEAD01654,2024-12-20,Call,Introduction,Neutral
FU004472,LEAD01654,2025-01-02,WhatsApp,Site Visit Invitation,Interested
FU004473,LEAD01655,2025-05-10,Payment Discussion,Payment Follow-up,Interested
FU004474,LEAD01656,2025-10-19,Call,Introduction,Neutral
FU004475,LEAD01656,2025-10-30,Loan Assistance,Loan Guidance,Interested
FU004476,LEAD01656,2025-11-11,Site Visit Reminder,Site Visit Invitation,Neutral
FU004477,LEAD01656,2025-11-20,Payment Discussion,Payment Follow-up,No Response
FU004478,LEAD01656,2025-11-20,Payment Discussion,Payment Follow-up,No Response
FU004479,LEAD01656,2025-12-02,Call,Re-engagement,Interested
FU004480,LEAD01656,2025-12-17,Call,Document Collection,Neutral
FU004481,LEAD01656,2025-12-24,WhatsApp,Site Visit Invitation,Interested
FU004482,LEAD01656,2025-12-29,Call,Introduction,No Response
FU004483,LEAD01656,2025-12-29,Call,Introduction,No Response
FU004484,LEAD01656,2026-01-04,Payment Discussion,Payment Follow-up,Converted
FU004485,LEAD01657,2025-12-02,Site Visit Reminder,Site Visit Invitation,Not Interested
FU004486,LEAD01657,2025-12-02,Site Visit Reminder,Site Visit Invitation,Not Interested
FU004487,LEAD01658,2026-09-19,Email,Introduction,Interested
FU004488,LEAD01658,2026-10-11,Email,Interest Check,No Response
FU004489,LEAD01659,2025-07-18,Call,Introduction,Neutral
FU004490,LEAD01659,2025-07-24,Site Visit Reminder,Site Visit Invitation,No Response
FU004491,LEAD01660,2026-05-13,Email,Introduction,Neutral
FU004492,LEAD01660,2026-06-10,Email,Booking Confirmation,Interested
FU004493,LEAD01661,2026-05-27,Call,Introduction,Interested
FU004494,LEAD01661,2026-06-22,WhatsApp,Document Collection,Requested Callback
FU004495,LEAD01661,2026-07-17,Site Visit Reminder,Site Visit Invitation,Interested
FU004496,LEAD01661,2026-08-13,Email,Booking Confirmation,Requested Callback
FU004497,LEAD01661,2026-08-13,Email,Booking Confirmation,Requested Callback
FU004498,LEAD01661,2026-08-23,Meeting,Document Collection,Requested Callback
FU004499,LEAD01662,2026-12-11,Call,Introduction,Interested
FU004500,LEAD01662,2026-12-11,Call,Introduction,Interested
FU004501,LEAD01662,2026-12-25,Meeting,Booking Confirmation,Neutral
FU004502,LEAD01663,2024-03-24,Call,Introduction,Requested Callback
FU004503,LEAD01663,2024-04-16,Loan Assistance,Loan Guidance,Neutral
FU004504,LEAD01664,2025-07-13,WhatsApp,Introduction,Not Interested
FU004505,LEAD01665,2024-03-19,Email,Introduction,Interested
FU004506,LEAD01665,2024-04-11,Call,Loan Guidance,Not Interested
FU004507,LEAD01665,2024-05-10,WhatsApp,Site Visit Invitation,Requested Callback
FU004508,LEAD01665,2024-05-17,Site Visit Reminder,Site Visit Invitation,Not Interested
FU004509,LEAD01665,2024-05-17,Site Visit Reminder,Site Visit Invitation,Not Interested
FU004510,LEAD01666,2025-09-11,Meeting,Introduction,Not Interested
FU004511,LEAD01666,2025-10-05,WhatsApp,Document Collection,Interested
FU004512,LEAD01666,2025-11-01,WhatsApp,Site Visit Invitation,Not Interested
FU004513,LEAD01667,2025-11-13,Call,Introduction,Requested Callback
FU004514,LEAD01667,2025-11-18,Call,Booking Confirmation,Interested
FU004515,LEAD01667,2025-11-29,Call,Booking Confirmation,Neutral
FU004516,LEAD01667,2025-12-09,Payment Discussion,Payment Follow-up,Neutral
FU004517,LEAD01667,2025-12-21,Call,Price Negotiation,No Response
FU004518,LEAD01668,2026-01-21,WhatsApp,Introduction,Not Interested
FU004519,LEAD01669,2026-02-16,Call,Introduction,Neutral
FU004520,LEAD01670,2026-11-14,Loan Assistance,Loan Guidance,Not Interested
FU004521,LEAD01671,2026-09-21,Call,Introduction,No Response
FU004522,LEAD01671,2026-10-16,WhatsApp,Re-engagement,Neutral
FU004523,LEAD01672,2025-04-19,Email,Introduction,Neutral
FU004524,LEAD01672,2025-04-24,WhatsApp,Site Visit Invitation,No Response
FU004525,LEAD01672,2025-04-24,WhatsApp,Site Visit Invitation,No Response
FU004526,LEAD01672,2025-05-02,WhatsApp,Re-engagement,Not Interested
FU004527,LEAD01672,2025-05-12,Payment Discussion,Payment Follow-up,Neutral
FU004528,LEAD01672,2025-05-24,Call,Booking Confirmation,Converted
FU004529,LEAD01673,2025-08-22,Call,Introduction,No Response
FU004530,LEAD01673,2025-09-15,WhatsApp,Site Visit Invitation,Not Interested
FU004531,LEAD01674,2025-08-20,Loan Assistance,Loan Guidance,Not Interested
FU004532,LEAD01675,2025-12-19,Call,Introduction,Requested Callback
FU004533,LEAD01675,2026-01-02,Payment Discussion,Payment Follow-up,Neutral
FU004534,LEAD01676,2026-01-14,Call,Introduction,Requested Callback
FU004535,LEAD01676,2026-01-19,Meeting,Document Collection,Neutral
FU004536,LEAD01676,2026-01-19,Meeting,Document Collection,Neutral
FU004537,LEAD01676,2026-02-02,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU004538,LEAD01677,2026-04-27,Meeting,Introduction,Interested
FU004539,LEAD01677,2026-05-20,WhatsApp,Re-engagement,Interested
FU004540,LEAD01678,2026-06-05,Site Visit Reminder,Site Visit Invitation,No Response
FU004541,LEAD01678,2026-06-05,Site Visit Reminder,Site Visit Invitation,No Response
FU004542,LEAD01679,2024-08-08,WhatsApp,Introduction,No Response
FU004543,LEAD01679,2024-08-08,WhatsApp,Introduction,No Response
FU004544,LEAD01679,2024-08-22,Payment Discussion,Payment Follow-up,No Response
FU004545,LEAD01679,2024-08-22,Payment Discussion,Payment Follow-up,No Response
FU004546,LEAD01679,2024-08-29,Call,Document Collection,No Response
FU004547,LEAD01679,2024-09-02,Call,Site Visit Invitation,No Response
FU004548,LEAD01679,2024-09-17,WhatsApp,Site Visit Invitation,Requested Callback
FU004549,LEAD01679,2024-10-01,Call,Re-engagement,Neutral
FU004550,LEAD01679,2024-10-15,Call,Booking Confirmation,Converted
FU004551,LEAD01680,2024-11-07,Call,Introduction,Neutral
FU004552,LEAD01680,2024-12-06,Payment Discussion,Payment Follow-up,Neutral
FU004553,LEAD01680,2024-12-18,Call,Site Visit Invitation,Interested
FU004554,LEAD01680,2025-01-02,Payment Discussion,Payment Follow-up,Requested Callback
FU004555,LEAD01680,2025-01-21,Loan Assistance,Loan Guidance,Requested Callback
FU004556,LEAD01680,2025-02-16,WhatsApp,Introduction,Neutral
FU004557,LEAD01681,2025-08-11,Site Visit Reminder,Site Visit Invitation,Not Interested
FU004558,LEAD01682,2024-09-15,WhatsApp,Introduction,Neutral
FU004559,LEAD01682,2024-10-09,Call,Site Visit Invitation,Interested
FU004560,LEAD01683,2025-01-19,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU004561,LEAD01683,2025-02-11,Call,Site Visit Invitation,No Response
FU004562,LEAD01683,2025-03-10,Call,Re-engagement,Interested
FU004563,LEAD01683,2025-03-29,Site Visit Reminder,Site Visit Invitation,Interested
FU004564,LEAD01684,2025-05-31,Call,Introduction,No Response
FU004565,LEAD01684,2025-05-31,Call,Introduction,No Response
FU004566,LEAD01685,2024-04-20,Call,Introduction,No Response
FU004567,LEAD01685,2024-04-20,Call,Introduction,No Response
FU004568,LEAD01685,2024-05-01,Call,Re-engagement,Not Interested
FU004569,LEAD01685,2024-05-16,WhatsApp,Price Negotiation,Interested
FU004570,LEAD01685,2024-05-31,Call,Post-Visit Feedback,No Response
FU004571,LEAD01686,2026-01-14,Call,Introduction,Not Interested
FU004572,LEAD01687,2026-10-21,Email,Introduction,Interested
FU004573,LEAD01687,2026-11-12,WhatsApp,Document Collection,Neutral
FU004574,LEAD01688,2026-12-31,Call,Introduction,Requested Callback
FU004575,LEAD01689,2024-01-24,Call,Introduction,Not Interested
FU004576,LEAD01690,2025-12-12,WhatsApp,Introduction,Interested
FU004577,LEAD01690,2025-12-12,WhatsApp,Introduction,Interested
FU004578,LEAD01691,2024-09-23,Site Visit Reminder,Site Visit Invitation,No Response
FU004579,LEAD01692,2024-10-17,Call,Introduction,Interested
FU004580,LEAD01692,2024-11-14,Loan Assistance,Loan Guidance,No Response
FU004581,LEAD01692,2024-11-14,Loan Assistance,Loan Guidance,No Response
FU004582,LEAD01692,2024-12-09,Call,Payment Follow-up,Requested Callback
FU004583,LEAD01692,2024-12-17,Payment Discussion,Payment Follow-up,Neutral
FU004584,LEAD01692,2024-12-23,Meeting,Site Visit Invitation,Neutral
FU004585,LEAD01692,2025-01-12,WhatsApp,Re-engagement,Neutral
FU004586,LEAD01693,2026-02-01,WhatsApp,Introduction,No Response
FU004587,LEAD01693,2026-02-09,Payment Discussion,Payment Follow-up,No Response
FU004588,LEAD01693,2026-02-13,Meeting,Price Negotiation,Interested
FU004589,LEAD01693,2026-03-04,Loan Assistance,Loan Guidance,No Response
FU004590,LEAD01693,2026-03-08,Loan Assistance,Loan Guidance,Converted
FU004591,LEAD01694,2026-12-11,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU004592,LEAD01695,2025-10-14,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU004593,LEAD01695,2025-10-25,Loan Assistance,Loan Guidance,No Response
FU004594,LEAD01695,2025-10-25,Loan Assistance,Loan Guidance,No Response
FU004595,LEAD01695,2025-11-09,Email,Payment Follow-up,Interested
FU004596,LEAD01695,2025-11-26,WhatsApp,Introduction,Neutral
FU004597,LEAD01696,2026-06-25,Email,Introduction,Neutral
FU004598,LEAD01696,2026-07-23,WhatsApp,Site Visit Invitation,Not Interested
FU004599,LEAD01696,2026-07-29,WhatsApp,Re-engagement,Not Interested
FU004600,LEAD01696,2026-07-29,WhatsApp,Re-engagement,Not Interested
FU004601,LEAD01697,2025-04-29,WhatsApp,Introduction,Not Interested
FU004602,LEAD01698,2025-07-15,Site Visit Reminder,Site Visit Invitation,No Response
FU004603,LEAD01698,2025-08-08,Call,Interest Check,Requested Callback
FU004604,LEAD01699,2026-03-19,Site Visit Reminder,Site Visit Invitation,Interested
FU004605,LEAD01700,2025-11-16,Call,Introduction,Neutral
FU004606,LEAD01700,2025-11-23,WhatsApp,Booking Confirmation,Requested Callback
FU004607,LEAD01700,2025-11-23,WhatsApp,Booking Confirmation,Requested Callback
FU004608,LEAD01700,2025-12-02,Email,Price Negotiation,Neutral
FU004609,LEAD01700,2025-12-02,Email,Price Negotiation,Neutral
FU004610,LEAD01700,2025-12-13,Call,Document Collection,Neutral
FU004611,LEAD01700,2025-12-19,Site Visit Reminder,Site Visit Invitation,Interested
FU004612,LEAD01700,2026-01-05,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU004613,LEAD01700,2026-01-10,Payment Discussion,Payment Follow-up,Interested
FU004614,LEAD01700,2026-01-25,Payment Discussion,Payment Follow-up,Interested
FU004615,LEAD01701,2026-12-04,Payment Discussion,Payment Follow-up,Neutral
FU004616,LEAD01702,2025-12-10,WhatsApp,Introduction,Not Interested
FU004617,LEAD01702,2025-12-27,Email,Loan Guidance,Not Interested
FU004618,LEAD01702,2026-01-14,Email,Introduction,No Response
FU004619,LEAD01702,2026-01-22,Call,Loan Guidance,Not Interested
FU004620,LEAD01703,2026-03-25,Call,Introduction,Requested Callback
FU004621,LEAD01704,2025-11-23,WhatsApp,Introduction,Interested
FU004622,LEAD01704,2025-12-04,Loan Assistance,Loan Guidance,Neutral
FU004623,LEAD01704,2025-12-12,Loan Assistance,Loan Guidance,No Response
FU004624,LEAD01704,2025-12-27,WhatsApp,Re-engagement,Neutral
FU004625,LEAD01704,2026-01-01,Payment Discussion,Payment Follow-up,Interested
FU004626,LEAD01704,2026-01-10,Loan Assistance,Loan Guidance,Converted
FU004627,LEAD01705,2026-07-17,Call,Introduction,Not Interested
FU004628,LEAD01706,2024-04-01,Meeting,Introduction,Not Interested
FU004629,LEAD01707,2025-12-28,WhatsApp,Introduction,Neutral
FU004630,LEAD01707,2025-12-28,WhatsApp,Introduction,Neutral
FU004631,LEAD01707,2026-01-12,Call,Price Negotiation,Neutral
FU004632,LEAD01707,2026-02-05,Call,Interest Check,Neutral
FU004633,LEAD01708,2026-11-02,Email,Introduction,Requested Callback
FU004634,LEAD01708,2026-11-25,WhatsApp,Interest Check,Not Interested
FU004635,LEAD01708,2026-11-25,WhatsApp,Interest Check,Not Interested
FU004636,LEAD01708,2026-12-22,Email,Post-Visit Feedback,Requested Callback
FU004637,LEAD01709,2026-12-31,WhatsApp,Introduction,Neutral
FU004638,LEAD01710,2024-05-08,WhatsApp,Introduction,Neutral
FU004639,LEAD01710,2024-05-26,Loan Assistance,Loan Guidance,No Response
FU004640,LEAD01710,2024-05-30,Call,Price Negotiation,Neutral
FU004641,LEAD01710,2024-06-09,Payment Discussion,Payment Follow-up,No Response
FU004642,LEAD01710,2024-06-27,Loan Assistance,Loan Guidance,Converted
FU004643,LEAD01710,2024-06-27,Loan Assistance,Loan Guidance,Converted
FU004644,LEAD01711,2024-12-15,Site Visit Reminder,Site Visit Invitation,No Response
FU004645,LEAD01711,2025-01-11,WhatsApp,Document Collection,Interested
FU004646,LEAD01711,2025-01-11,WhatsApp,Document Collection,Interested
FU004647,LEAD01711,2025-01-11,WhatsApp,Document Collection,Interested
FU004648,LEAD01712,2024-05-04,Call,Introduction,Neutral
FU004649,LEAD01712,2024-05-31,Call,Site Visit Invitation,Interested
FU004650,LEAD01713,2025-03-08,WhatsApp,Introduction,Neutral
FU004651,LEAD01713,2025-03-14,Loan Assistance,Loan Guidance,Interested
FU004652,LEAD01713,2025-03-21,Email,Payment Follow-up,Neutral
FU004653,LEAD01713,2025-04-04,Call,Document Collection,Requested Callback
FU004654,LEAD01713,2025-04-15,Call,Site Visit Invitation,Interested
FU004655,LEAD01713,2025-04-15,Call,Site Visit Invitation,Interested
FU004656,LEAD01714,2025-11-30,WhatsApp,Introduction,Requested Callback
FU004657,LEAD01714,2025-12-15,Call,Document Collection,Interested
FU004658,LEAD01714,2025-12-20,Email,Document Collection,Interested
FU004659,LEAD01714,2025-12-30,Email,Document Collection,Requested Callback
FU004660,LEAD01714,2026-01-11,Call,Price Negotiation,Requested Callback
FU004661,LEAD01714,2026-01-11,Call,Price Negotiation,Requested Callback
FU004662,LEAD01714,2026-01-24,Meeting,Price Negotiation,No Response
FU004663,LEAD01714,2026-01-30,Call,Price Negotiation,Requested Callback
FU004664,LEAD01714,2026-02-18,Payment Discussion,Payment Follow-up,Requested Callback
FU004665,LEAD01714,2026-02-22,Loan Assistance,Loan Guidance,Requested Callback
FU004666,LEAD01714,2026-03-03,Call,Price Negotiation,Interested
FU004667,LEAD01714,2026-03-03,Call,Price Negotiation,Interested
FU004668,LEAD01715,2026-05-14,Payment Discussion,Payment Follow-up,Not Interested
FU004669,LEAD01716,2024-02-07,Site Visit Reminder,Site Visit Invitation,Neutral
FU004670,LEAD01716,2024-02-21,Email,Introduction,Neutral
FU004671,LEAD01716,2024-02-28,Email,Introduction,Neutral
FU004672,LEAD01716,2024-03-25,Call,Interest Check,Interested
FU004673,LEAD01716,2024-03-25,Call,Interest Check,Interested
FU004674,LEAD01717,2024-06-11,WhatsApp,Introduction,Interested
FU004675,LEAD01717,2024-06-11,WhatsApp,Introduction,Interested
FU004676,LEAD01717,2024-06-21,Call,Loan Guidance,Requested Callback
FU004677,LEAD01717,2024-06-29,Call,Booking Confirmation,Requested Callback
FU004678,LEAD01718,2024-09-12,WhatsApp,Introduction,No Response
FU004679,LEAD01719,2025-01-07,Call,Introduction,Interested
FU004680,LEAD01719,2025-01-14,Call,Booking Confirmation,Neutral
FU004681,LEAD01720,2025-01-28,Site Visit Reminder,Site Visit Invitation,Neutral
FU004682,LEAD01720,2025-02-13,Payment Discussion,Payment Follow-up,Requested Callback
FU004683,LEAD01720,2025-03-05,Loan Assistance,Loan Guidance,No Response
FU004684,LEAD01721,2025-08-11,Call,Introduction,Neutral
FU004685,LEAD01721,2025-08-23,WhatsApp,Price Negotiation,Neutral
FU004686,LEAD01721,2025-09-17,Call,Price Negotiation,No Response
FU004687,LEAD01721,2025-09-17,Call,Price Negotiation,No Response
FU004688,LEAD01721,2025-09-24,WhatsApp,Introduction,Neutral
FU004689,LEAD01721,2025-10-17,WhatsApp,Interest Check,Neutral
FU004690,LEAD01722,2024-11-09,Call,Introduction,Not Interested
FU004691,LEAD01722,2024-11-25,Call,Site Visit Invitation,No Response
FU004692,LEAD01722,2024-12-09,Call,Re-engagement,No Response
FU004693,LEAD01722,2024-12-31,Call,Document Collection,Not Interested
FU004694,LEAD01723,2025-04-07,Meeting,Introduction,No Response
FU004695,LEAD01723,2025-04-13,WhatsApp,Booking Confirmation,Interested
FU004696,LEAD01723,2025-04-30,Call,Document Collection,Interested
FU004697,LEAD01723,2025-05-09,Call,Price Negotiation,Interested
FU004698,LEAD01723,2025-05-28,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU004699,LEAD01723,2025-06-11,Call,Price Negotiation,Requested Callback
FU004700,LEAD01723,2025-06-29,Call,Price Negotiation,Neutral
FU004701,LEAD01724,2026-02-05,Call,Introduction,Neutral
FU004702,LEAD01724,2026-02-20,WhatsApp,Document Collection,Neutral
FU004703,LEAD01725,2025-03-23,WhatsApp,Introduction,Not Interested
FU004704,LEAD01726,2025-08-11,Call,Introduction,Neutral
FU004705,LEAD01727,2026-03-16,Meeting,Introduction,No Response
FU004706,LEAD01727,2026-04-04,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU004707,LEAD01727,2026-04-16,Call,Document Collection,Interested
FU004708,LEAD01727,2026-04-26,WhatsApp,Introduction,Interested
FU004709,LEAD01727,2026-05-13,WhatsApp,Payment Follow-up,Neutral
FU004710,LEAD01727,2026-05-30,Call,Price Negotiation,Neutral
FU004711,LEAD01727,2026-06-15,Payment Discussion,Payment Follow-up,No Response
FU004712,LEAD01727,2026-06-20,Payment Discussion,Payment Follow-up,Converted
FU004713,LEAD01728,2025-11-07,Email,Introduction,Interested
FU004714,LEAD01728,2025-11-25,WhatsApp,Re-engagement,Neutral
FU004715,LEAD01728,2025-12-04,Call,Re-engagement,Neutral
FU004716,LEAD01728,2025-12-17,Call,Booking Confirmation,Converted
FU004717,LEAD01729,2025-08-30,Call,Introduction,Requested Callback
FU004718,LEAD01729,2025-09-26,WhatsApp,Booking Confirmation,Interested
FU004719,LEAD01729,2025-10-10,Call,Document Collection,Interested
FU004720,LEAD01730,2026-01-18,WhatsApp,Introduction,Not Interested
FU004721,LEAD01730,2026-02-03,Meeting,Site Visit Invitation,Interested
FU004722,LEAD01731,2026-03-16,Loan Assistance,Loan Guidance,Requested Callback
FU004723,LEAD01732,2025-04-06,WhatsApp,Introduction,Requested Callback
FU004724,LEAD01733,2025-09-11,Email,Introduction,Not Interested
FU004725,LEAD01734,2025-12-24,Call,Introduction,Requested Callback
FU004726,LEAD01735,2025-04-09,Site Visit Reminder,Site Visit Invitation,Interested
FU004727,LEAD01735,2025-04-27,Call,Site Visit Invitation,Requested Callback
FU004728,LEAD01735,2025-04-27,Call,Site Visit Invitation,Requested Callback
FU004729,LEAD01735,2025-05-12,Loan Assistance,Loan Guidance,Neutral
FU004730,LEAD01735,2025-05-17,Payment Discussion,Payment Follow-up,Converted
FU004731,LEAD01736,2024-11-11,Call,Introduction,Not Interested
FU004732,LEAD01736,2024-12-05,Call,Payment Follow-up,Requested Callback
FU004733,LEAD01736,2024-12-24,Meeting,Loan Guidance,Neutral
FU004734,LEAD01736,2025-01-19,Call,Introduction,Not Interested
FU004735,LEAD01736,2025-01-19,Call,Introduction,Not Interested
FU004736,LEAD01737,2024-12-10,WhatsApp,Introduction,Neutral
FU004737,LEAD01738,2026-12-27,Call,Introduction,Interested
FU004738,LEAD01739,2026-03-02,WhatsApp,Introduction,Neutral
FU004739,LEAD01739,2026-03-10,Call,Re-engagement,Not Interested
FU004740,LEAD01739,2026-03-10,Call,Re-engagement,Not Interested
FU004741,LEAD01740,2026-04-18,WhatsApp,Introduction,Interested
FU004742,LEAD01740,2026-05-01,WhatsApp,Site Visit Invitation,No Response
FU004743,LEAD01740,2026-05-13,WhatsApp,Price Negotiation,Interested
FU004744,LEAD01741,2025-09-27,Call,Introduction,Interested
FU004745,LEAD01741,2025-10-21,Site Visit Reminder,Site Visit Invitation,Interested
FU004746,LEAD01742,2025-10-22,WhatsApp,Introduction,Interested
FU004747,LEAD01742,2025-11-16,WhatsApp,Re-engagement,Neutral
FU004748,LEAD01742,2025-11-25,Call,Price Negotiation,Interested
FU004749,LEAD01743,2025-11-25,Call,Introduction,No Response
FU004750,LEAD01743,2025-12-06,Call,Document Collection,No Response
FU004751,LEAD01743,2025-12-15,Site Visit Reminder,Site Visit Invitation,Neutral
FU004752,LEAD01743,2025-12-22,Call,Document Collection,Requested Callback
FU004753,LEAD01743,2026-01-07,Call,Price Negotiation,Interested
FU004754,LEAD01743,2026-01-07,Call,Price Negotiation,Interested
FU004755,LEAD01744,2024-06-13,Loan Assistance,Loan Guidance,Interested
FU004756,LEAD01744,2024-07-01,Call,Introduction,Neutral
FU004757,LEAD01744,2024-07-28,Call,Site Visit Invitation,Interested
FU004758,LEAD01744,2024-08-20,WhatsApp,Price Negotiation,Requested Callback
FU004759,LEAD01744,2024-08-20,WhatsApp,Price Negotiation,Requested Callback
FU004760,LEAD01745,2026-12-29,Meeting,Introduction,Requested Callback
FU004761,LEAD01746,2026-07-18,Call,Introduction,Requested Callback
FU004762,LEAD01746,2026-08-11,WhatsApp,Site Visit Invitation,Interested
FU004763,LEAD01746,2026-08-11,WhatsApp,Site Visit Invitation,Interested
FU004764,LEAD01746,2026-08-20,Call,Interest Check,Requested Callback
FU004765,LEAD01746,2026-08-28,Payment Discussion,Payment Follow-up,Interested
FU004766,LEAD01746,2026-09-20,Call,Re-engagement,Neutral
FU004767,LEAD01747,2025-07-05,WhatsApp,Introduction,Interested
FU004768,LEAD01747,2025-07-28,Meeting,Document Collection,No Response
FU004769,LEAD01747,2025-08-23,WhatsApp,Payment Follow-up,Requested Callback
FU004770,LEAD01747,2025-08-29,Loan Assistance,Loan Guidance,Requested Callback
FU004771,LEAD01747,2025-09-25,WhatsApp,Payment Follow-up,Requested Callback
FU004772,LEAD01747,2025-10-08,Payment Discussion,Payment Follow-up,Interested
FU004773,LEAD01747,2025-11-01,Email,Post-Visit Feedback,Requested Callback
FU004774,LEAD01748,2024-02-19,Call,Introduction,Not Interested
FU004775,LEAD01749,2024-06-02,WhatsApp,Introduction,Interested
FU004776,LEAD01750,2026-04-04,Meeting,Introduction,Requested Callback
FU004777,LEAD01750,2026-04-15,Meeting,Price Negotiation,No Response
FU004778,LEAD01751,2024-03-08,Site Visit Reminder,Site Visit Invitation,Neutral
FU004779,LEAD01751,2024-03-30,WhatsApp,Site Visit Invitation,Interested
FU004780,LEAD01751,2024-04-23,WhatsApp,Document Collection,Interested
FU004781,LEAD01751,2024-04-30,WhatsApp,Re-engagement,No Response
FU004782,LEAD01751,2024-05-22,Call,Introduction,Interested
FU004783,LEAD01752,2024-12-17,WhatsApp,Introduction,No Response
FU004784,LEAD01752,2025-01-08,Call,Re-engagement,Requested Callback
FU004785,LEAD01753,2025-06-07,Site Visit Reminder,Site Visit Invitation,Neutral
FU004786,LEAD01753,2025-06-14,Site Visit Reminder,Site Visit Invitation,Neutral
FU004787,LEAD01754,2026-08-30,Call,Introduction,Not Interested
FU004788,LEAD01755,2024-12-13,WhatsApp,Introduction,Requested Callback
FU004789,LEAD01756,2024-10-15,WhatsApp,Introduction,Interested
FU004790,LEAD01757,2024-08-20,Call,Introduction,No Response
FU004791,LEAD01757,2024-09-16,WhatsApp,Site Visit Invitation,No Response
FU004792,LEAD01757,2024-09-16,WhatsApp,Site Visit Invitation,No Response
FU004793,LEAD01757,2024-10-07,WhatsApp,Loan Guidance,Interested
FU004794,LEAD01758,2024-11-26,WhatsApp,Introduction,Neutral
FU004795,LEAD01758,2024-12-25,Payment Discussion,Payment Follow-up,Not Interested
FU004796,LEAD01759,2025-06-18,Call,Introduction,Not Interested
FU004797,LEAD01760,2025-08-01,WhatsApp,Introduction,Requested Callback
